FID,OBJECTID,UIDENT,NAW1_EN,NAW1_SP,NAW1_FR,NAW2_EN,NAW2_SP,NAW2_FR,NAW3_EN,NAW3_SP,NAW3_FR,NAW4_EN,NAW4_SP,NAW4_FR,TRANS_BND,MAP_COLOR,INTERNAL,FED_REF,COUNTRY,USA_REG,USA_SUB,USA_ACC,USA_REG_NA,USA_SUB_NA,USA_ACC_NA,CAN_MDA,CAN_SDA,CAN_MDA_EN,CAN_MDA_FR,CAN_SDA_EN,CAN_SDA_FR,MEX_FC_RH,MEX_REG_RH,EDIT_DATE,EDIT,comments,Shape_Leng,Shape_Area
752,753,80616,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,48373.784662899997784,97691605.260900005698204
753,754,80716,Gulf of Mexico,Golfo de México,Golfe du Mexique,Mississippi River system,Sistema del río Misisipi,Réseau hydrographique du Mississippi,Missouri River,Río Misuri,Rivière Missouri,Milk,Milk,Milk,1,32,-999,100500,USA,10,1005,100500,Missouri Region,Milk,Milk, , , , , , ,-999, ,20081020,NEW, ,1479328.124280000105500,38789613967.800003051757813
754,755,80816,Hudson Bay,Bahía de Hudson,Baie d'Hudson,Nelson River,Río Nelson,Fleuve Nelson, , , ,Upper South Saskatchewan,Upper South Saskatchewan,Cours supérieur de la Saskatchewan Sud,1,41,-999,100100,USA,10,1001,100100,Missouri Region,Saskatchewan,Saskatchewan, , , , , , ,-999, ,20100514,EDT, ,241499.626993999991100,1785053548.980000019073486
755,756,80916,Atlantic Ocean,Océano Atlántico,Océan Atlantique,Atlantic Ocean Seaboard,Litoral Océano Atlántico,Littoral Océan Atlantique, , , ,Kennebec,Kennebec,Kennebec,-999,20,-999,010300,USA,1,103,10300,New England Region,Kennebec,Kennebec, , , , , , ,-999, ,20081020,NEW, ,821589.031838000053540,15225702079.700000762939453
756,757,81016,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,39111.435892200002854,71830461.931500002741814
757,758,81116,Pacific Ocean,Océano Pacífico,Océan Pacifique,Columbia River,Río Columbia,Fleuve Columbia, , , ,Kootenay River,Kootenay River,Rivière Kootenay,1,53,-999,170101,USA,17,1701,170101,Pacific Northwest Region,Kootenai-Pend Oreille-Spokane,Kootenai, , , , , , ,-999, ,20081020,NEW, ,603596.177319000009447,12427775739.500000000000000
758,759,81216,Pacific Ocean,Océano Pacífico,Océan Pacifique,Columbia River,Río Columbia,Fleuve Columbia, , , ,Pend Oreille,Pend Oreille,Pend Oreille,1,53,-999,170102,USA,17,1701,170102,Pacific Northwest Region,Kootenai-Pend Oreille-Spokane,Pend Oreille, , , , , , ,-999, ,20100514,EDT, ,2071336.287710000062361,64288484835.199996948242188
759,760,81316,Atlantic Ocean,Océano Atlántico,Océan Atlantique,Atlantic Ocean Seaboard,Litoral Océano Atlántico,Littoral Océan Atlantique, , , ,Maine Coastal,Maine Coastal,Maine Coastal,-999,20,-999,010500,USA,1,105,10500,New England Region,Maine Coastal,Maine Coastal, , , , , , ,-999, ,20081020,NEW, ,914466.033812999958172,10103197391.899999618530273
760,761,81416,Pacific Ocean,Océano Pacífico,Océan Pacifique,Pacific Ocean Seaboard,Litoral Océano Pacífico,Littoral Océan Pacifique, , , ,Puget Sound,Puget Sound,Puget Sound,1,50,-999,171100,USA,17,1711,171100,Pacific Northwest Region,Puget Sound,Puget Sound, , , , , , ,-999, ,20100401,EDT,Fixed ugly NA wshed,180346.683851000008872,457497850.610000014305115
761,762,81516,Atlantic Ocean,Océano Atlántico,Océan Atlantique,Atlantic Ocean Seaboard,Litoral Océano Atlántico,Littoral Océan Atlantique, , , ,Penobscot,Penobscot,Penobscot,-999,20,-999,010200,USA,1,102,10200,New England Region,Penobscot,Penobscot, , , , , , ,-999, ,20081020,NEW, ,1165997.800479999976233,22254320329.200000762939453
